entryId,roomNo,StudentID,DeviceModel,BatteryLifeBefore,BatteryLifeAfter,DateTime,NumScans,AvgDataPerScan
27,203,2105047,Redmi Note 9 Pro,65,65,03/05/2025: 10:55:30,18,9.28
28,203,2105022,21091116I,88,88,03/05/2025: 10:55:28,18,17.28
29,203,2105046,Pixel 6a,1,3,03/05/2025: 10:55:32,18,14.06
30,203,2105035,23117RA68G,33,33,03/05/2025: 10:55:38,18,19.5
31,203,2105048,2201117TG,31,30,03/05/2025: 10:55:41,18,12.78
32,203,2105053,SM-G960U,81,80,03/05/2025: 10:55:46,18,15.89
33,203,2105032,Pixel 8 Pro,84,84,03/05/2025: 10:56:54,18,19.61
34,203,2105056,SM-M325F,80,79,03/05/2025: 10:57:40,18,19.0
35,203,2105042,23021RAAEG,74,74,03/05/2025: 11:01:45,18,17.39
36,203,2105019,SM-E236B,55,54,03/05/2025: 10:55:11,18,16.61
37,203,2105013,LE2111,64,64,03/05/2025: 10:59:01,18,13.78
38,204,2105005,Pixel 6,58,58,03/05/2025: 11:00:40,15,17.27
39,204,2105029,SM-N986N,80,80,03/05/2025: 11:03:00,18,25.78
40,204,2105043,SM-G981V,49,49,03/05/2025: 11:03:20,18,28.72
41,204,2105010,RMX3363,65,65,03/05/2025: 11:04:56,18,16.39
42,204,2105009,SM-A336E,51,50,03/05/2025: 11:05:16,18,21.44
43,204,2105048,2201117TG,29,29,03/05/2025: 11:05:18,18,16.72
44,204,1345025 teacher,Pixel 5a,94,94,03/05/2025: 11:05:28,20,11.1
45,204,2105055,SM-A135F,54,54,03/05/2025: 11:05:34,18,25.89
46,204,2105042,23021RAAEG,73,73,03/05/2025: 11:05:43,18,11.44
47,204,2105083,SM-S901E,80,80,03/05/2025: 11:05:51,18,16.89
48,204,2105086,RMX3395,24,23,03/05/2025: 11:05:54,18,26.89
49,204,2105061,2201116SI,49,49,03/05/2025: 11:05:56,18,8.83
50,204,2105052,V2058,69,69,03/05/2025: 11:06:25,18,14.5
51,204,2105062,V2131,73,73,03/05/2025: 11:06:26,18,14.0
52,204,12348292 teacher,Pixel 5a,94,94,03/05/2025: 11:06:56,5,11.6
53,204,2105052,SM-M325F,79,79,03/05/2025: 11:04:14,18,24.0
54,204,2105085,SM-G990E,45,44,03/05/2025: 11:05:31,18,18.94
55,204,2105079,SM-S916B,52,52,03/05/2025: 11:06:28,18,20.72
56,204,2105017,SM-A556E,85,85,03/05/2025: 11:06:52,18,15.78
57,204,2105084,Redmi 8A Dual,46,45,03/05/2025: 11:06:59,18,19.89
58,204,2105018,Pixel 7 Pro,64,63,03/05/2025: 11:04:31,18,19.94
59,204,2105028,SM-S918B,58,58,03/05/2025: 10:51:52,11,19.36
60,204,2105020,23021RAAEG,29,29,03/05/2025: 10:53:57,18,12.06
61,204,2105055,SM-A135F,56,55,03/05/2025: 10:54:14,18,19.22
62,204,2105024,SM-E225F,78,78,03/05/2025: 10:54:51,18,14.28
63,204,2105014,22101320I,90,90,03/05/2025: 10:55:19,18,6.39
64,204,1905114,SM-M156B,34,34,03/05/2025: 10:55:19,18,19.44
65,204,2105002,SM-A346E,2,2,03/05/2025: 10:55:20,18,13.39
66,204,2105003,SM-A356E,20,20,03/05/2025: 10:55:20,18,9.28
67,204,2105033,SM-A556E,88,88,03/05/2025: 10:55:22,18,19.44
68,204,2105047,Redmi Note 9 Pro,65,65,03/05/2025: 10:55:30,18,9.28
69,204,2105022,21091116I,88,88,03/05/2025: 10:55:28,18,17.28
70,204,2105046,Pixel 6a,1,3,03/05/2025: 10:55:32,18,14.06
71,204,2105035,23117RA68G,33,33,03/05/2025: 10:55:38,18,19.5
72,204,2105048,2201117TG,31,30,03/05/2025: 10:55:41,18,12.78
73,204,2105053,SM-G960U,81,80,03/05/2025: 10:55:46,18,15.89
74,204,2105032,Pixel 8 Pro,84,84,03/05/2025: 10:56:54,18,19.61
75,204,2105056,SM-M325F,80,79,03/05/2025: 10:57:40,18,19.0
76,204,2105042,23021RAAEG,74,74,03/05/2025: 11:01:45,18,17.39
77,204,2105007,SM-A346E,85,84,03/05/2025: 11:05:44,18,18.61
78,Outside_203,167907294,Pixel 5a,92,92,03/05/2025: 11:28:58,18,13.06
79,Outside_203,16839402,Pixel 5a,92,92,03/05/2025: 11:32:54,5,11.2
80,Outside_203,1905078,SM-M127G,100,99,17/12/2024: 17:25:13,20,13.75
81,Outside_203,1905078,SM-M127G,99,98,17/12/2024: 17:36:00,20,13.9
82,Outside_203,1905078,SM-M127G,99,99,17/12/2024: 17:30:45,20,15.5
83,Outside_204,16072103,Pixel 5a,93,92,03/05/2025: 11:24:54,13,9.77
84,Outside_204,1905078,SM-M127G,98,97,17/12/2024: 17:41:52,20,16.15
85,Outside_204,1905078,SM-M127G,97,97,17/12/2024: 17:47:05,20,15.45
86,Outside_204,1905078,SM-M127G,97,96,17/12/2024: 17:52:32,20,16.4
87,Outside_Both,1607115,Pixel 5a,93,93,03/05/2025: 11:13:45,2,7.0
88,Outside_Both,1905009,RMX3363,74,73,03/05/2025: 11:16:29,17,19.53
89,Outside_Both,1905009,RMX3363,73,72,03/05/2025: 11:20:23,18,20.39
90,Outside_Both,1905009,RMX3363,72,71,03/05/2025: 11:24:55,18,18.94
91,Outside_Both,1905009,RMX3363,70,70,03/05/2025: 11:29:57,18,23.94
92,Outside_Both,1905078,SM-M127G,96,96,17/12/2024: 17:56:57,20,18.2
93,Outside_Both,1905078,SM-M127G,95,95,17/12/2024: 18:02:50,20,16.1
94,Outside_Both,1905009,RMX3363,14,13,17/12/2024: 18:05:00,20,18.85
95,Outside_Both,1905009,RMX3363,23,22,17/12/2024: 17:27:39,20,29.1
96,Outside_Both,1905009,RMX3363,21,21,17/12/2024: 17:32:52,20,28.8
97,Outside_Both,1905009,RMX3363,20,20,17/12/2024: 17:38:53,20,27.85
98,Outside_Both,1905009,RMX3363,19,19,17/12/2024: 17:43:34,20,21.85
99,Outside_Both,1905009,RMX3363,15,14,17/12/2024: 18:00:09,20,21.6
100,Outside_Both,1905009,RMX3363,16,16,17/12/2024: 17:55:57,20,20.7
101,Outside_Both,1905009,RMX3363,17,17,17/12/2024: 17:51:57,20,21.2
102,Outside_Both,1905009,RMX3363,18,18,17/12/2024: 17:47:40,20,21.0
